entity_email_id,obj_id,entity_id,ent_typ_cd,email_typ_cd,email_addr,dflt_ind,actv_ind
OLE1000031987,OLE1000031987,OLE1000031987,PERSON,WRK,josutherland@kuali.org,Y,Y
OLE1000131703,OLE1000131703,OLE1000131703,PERSON,WRK,jotheobald@kuali.org,Y,Y
OLE2800711,OLE2800711,OLE2800711,PERSON,WRK,jubloom@kuali.org,Y,Y
OLE2503532,OLE2503532,OLE2503532,PERSON,WRK,jumcdermott@kuali.org,Y,Y
OLE1000008670,OLE1000008670,OLE1000008670,PERSON,WRK,juzaret@kuali.org,Y,Y
OLE1000014183,OLE1000014183,OLE1000014183,PERSON,WRK,kadean@kuali.org,Y,Y
OLE1000244079,OLE1000244079,OLE1000244079,PERSON,WRK,kahollcraft@kuali.org,Y,Y
OLE1000079248,OLE1000079248,OLE1000079248,PERSON,WRK,karice@kuali.org,Y,Y
OLE1000233893,OLE1000233893,OLE1000233893,PERSON,WRK,kavargo@kuali.org,Y,Y
OLE1000302341,OLE1000302341,OLE1000302341,PERSON,WRK,kayebei@kuali.org,Y,Y
OLE1000198381,OLE1000198381,OLE1000198381,PERSON,WRK,labreithaupt@kuali.org,Y,Y
OLE1000237035,OLE1000237035,OLE1000237035,PERSON,WRK,lamcgowan@kuali.org,Y,Y
OLE2380894,OLE2380894,OLE2380894,PERSON,WRK,lijohnstone@kuali.org,Y,Y
OLE1000143898,OLE1000143898,OLE1000143898,PERSON,WRK,lohanson@kuali.org,Y,Y
OLE1000129314,OLE1000129314,OLE1000129314,PERSON,WRK,loliu@kuali.org,Y,Y
OLE1000004599,OLE1000004599,OLE1000004599,PERSON,WRK,maconrad@kuali.org,Y,Y
OLE1000043590,OLE1000043590,OLE1000043590,PERSON,WRK,mahelmkamp@kuali.org,Y,Y
OLE2779137,OLE2779137,OLE2779137,PERSON,WRK,majohnson@kuali.org,Y,Y
OLE1000009196,OLE1000009196,OLE1000009196,PERSON,WRK,malewis@kuali.org,Y,Y
OLE1000078175,OLE1000078175,OLE1000078175,PERSON,WRK,maransel@kuali.org,Y,Y
OLE1000196104,OLE1000196104,OLE1000196104,PERSON,WRK,mathorin@kuali.org,Y,Y
OLE1000039409,OLE1000039409,OLE1000039409,PERSON,WRK,methompson@kuali.org,Y,Y
OLE1000137477,OLE1000137477,OLE1000137477,PERSON,WRK,migreen@kuali.org,Y,Y
OLE2665712,OLE2665712,OLE2665712,PERSON,WRK,miwafa@kuali.org,Y,Y
OLE1000135747,OLE1000135747,OLE1000135747,PERSON,WRK,namccarnes@kuali.org,Y,Y
OLE1000231881,OLE1000231881,OLE1000231881,PERSON,WRK,neguillaume jr@kuali.org,Y,Y
OLE2840591,OLE2840591,OLE2840591,PERSON,WRK,nlipinski@kuali.org,Y,Y
OLE1000150695,OLE1000150695,OLE1000150695,PERSON,WRK,paarmstrong@kuali.org,Y,Y
OLE1000018819,OLE1000018819,OLE1000018819,PERSON,WRK,pagardiner@kuali.org,Y,Y
OLE1000132193,OLE1000132193,OLE1000132193,PERSON,WRK,papiedmont@kuali.org,Y,Y
OLE1000138247,OLE1000138247,OLE1000138247,PERSON,WRK,pesciame-giesecke@kuali.org,Y,Y
OLE1000038972,OLE1000038972,OLE1000038972,PERSON,WRK,pevaught@kuali.org,Y,Y
OLE1000175766,OLE1000175766,OLE1000175766,PERSON,WRK,phmarschand@kuali.org,Y,Y
OLE1000109910,OLE1000109910,OLE1000109910,PERSON,WRK,prfrey@kuali.org,Y,Y
OLE1000082147,OLE1000082147,OLE1000082147,PERSON,WRK,regilliland@kuali.org,Y,Y
OLE1000065082,OLE1000065082,OLE1000065082,PERSON,WRK,rhng@kuali.org,Y,Y
OLE1000129186,OLE1000129186,OLE1000129186,PERSON,WRK,rosoni@kuali.org,Y,Y
OLE1000311694,OLE1000311694,OLE1000311694,PERSON,WRK,rusuzuki@kuali.org,Y,Y
OLE1000017761,OLE1000017761,OLE1000017761,PERSON,WRK,saantolovic@kuali.org,Y,Y
OLE1000249330,OLE1000249330,OLE1000249330,PERSON,WRK,stdooley@kuali.org,Y,Y
OLE1000142000,OLE1000142000,OLE1000142000,PERSON,WRK,ststeinmetz@kuali.org,Y,Y
OLE1000159016,OLE1000159016,OLE1000159016,PERSON,WRK,sueickmeier@kuali.org,Y,Y
OLE1000155605,OLE1000155605,OLE1000155605,PERSON,WRK,suhanson@kuali.org,Y,Y
OLE1000228415,OLE1000228415,OLE1000228415,PERSON,WRK,sukerstiens@kuali.org,Y,Y
OLE1000079805,OLE1000079805,OLE1000079805,PERSON,WRK,tayates@kuali.org,Y,Y
OLE1000274180,OLE1000274180,OLE1000274180,PERSON,WRK,thlazzerini@kuali.org,Y,Y
OLE1000273014,OLE1000273014,OLE1000273014,PERSON,WRK,thvolpatti@kuali.org,Y,Y
OLE1000198368,OLE1000198368,OLE1000198368,PERSON,WRK,tibucur-deckard@kuali.org,Y,Y
OLE1000013326,OLE1000013326,OLE1000013326,PERSON,WRK,tigould@kuali.org,Y,Y
OLE1000303791,OLE1000303791,OLE1000303791,PERSON,WRK,tiwilliams@kuali.org,Y,Y
OLE1000150193,OLE1000150193,OLE1000150193,PERSON,WRK,torivard@kuali.org,Y,Y
OLE1000008129,OLE1000008129,OLE1000008129,PERSON,WRK,towidlanski@kuali.org,Y,Y
OLE1000142039,OLE1000142039,OLE1000142039,PERSON,WRK,vaross@kuali.org,Y,Y
OLE1000164608,OLE1000164608,OLE1000164608,PERSON,WRK,vipiston-hatlen@kuali.org,Y,Y
OLE1000146866,OLE1000146866,OLE1000146866,PERSON,WRK,viwinchester@kuali.org,Y,Y
OLE2777805,OLE2777805,OLE2777805,PERSON,WRK,wewilliams@kuali.org,Y,Y
OLE1000064676,OLE1000064676,OLE1000064676,PERSON,WRK,wischmidt@kuali.org,Y,Y
OLE1000105281,OLE1000105281,OLE1000105281,PERSON,WRK,xigaither@kuali.org,Y,Y
OLE10026,OLE10026,OLE10026,PERSON,WRK,test1@email.edu,Y,Y
OLE10003,OLE10003,OLE10003,PERSON,WRK,cstan@kuali.org,Y,Y
1201,5B97C50B04076110E0404F8189D85213,1101,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1202,5B97C50B04086110E0404F8189D85213,1102,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1203,5B97C50B04096110E0404F8189D85213,1103,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1204,5B97C50B040A6110E0404F8189D85213,1104,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1205,5B97C50B040B6110E0404F8189D85213,1105,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1206,5B97C50B040C6110E0404F8189D85213,1106,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1207,5B97C50B040D6110E0404F8189D85213,1107,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1208,5B97C50B040E6110E0404F8189D85213,1108,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1209,5B97C50B040F6110E0404F8189D85213,1109,PERSON,WRK,quickstart@indiana.edu,Y,Y
1210,5B97C50B04106110E0404F8189D85213,1110,PERSON,WRK,user1@indiana.edu,Y,Y
1211,5B97C50B04116110E0404F8189D85213,1111,PERSON,WRK,user2@indiana.edu,Y,Y
1212,5B97C50B04126110E0404F8189D85213,1112,PERSON,WRK,user3@indiana.edu,Y,Y
1213,5B97C50B04136110E0404F8189D85213,1113,PERSON,WRK,user4@indiana.edu,Y,Y
1214,5B97C50B04146110E0404F8189D85213,1114,PERSON,WRK,edna@localhost.edu,Y,Y
1215,5B97C50B04156110E0404F8189D85213,1115,PERSON,WRK,eric@localhost.edu,Y,Y
1216,5B97C50B04166110E0404F8189D85213,1116,PERSON,WRK,earl@localhost.edu,Y,Y
1217,5B97C50B04176110E0404F8189D85213,1117,PERSON,WRK,erin@localhost.edu,Y,Y
1218,5B97C50B04186110E0404F8189D85213,1118,PERSON,WRK,fred@indiana.edu,Y,Y
1219,5B97C50B04196110E0404F8189D85213,1119,PERSON,WRK,fran@indiana.edu,Y,Y
1220,5B97C50B041A6110E0404F8189D85213,1120,PERSON,WRK,frank@indiana.edu,Y,Y
1221,5B97C50B041B6110E0404F8189D85213,1121,PERSON,WRK,doug@localhost.edu,Y,Y
1222,5B97C50B041C6110E0404F8189D85213,1122,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1223,5B97C50B041D6110E0404F8189D85213,1123,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1224,5B97C50B041E6110E0404F8189D85213,1124,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1225,5B97C50B041F6110E0404F8189D85213,1125,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1226,5B97C50B04206110E0404F8189D85213,1126,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1227,5B97C50B04216110E0404F8189D85213,1127,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1228,5B97C50B04226110E0404F8189D85213,1128,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1229,5B97C50B04236110E0404F8189D85213,1129,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
1230,5B97C50B04246110E0404F8189D85213,1130,PERSON,WRK,kuali-rice-dev@googlegroups.com,Y,Y
OLE111,OLE111,1130,PERSON,WRK,palci@palci.com,Y,Y
OLE222,OLE222,1130,PERSON,WRK,api@api.com,Y,Y
1232,5B97C50B04266110E0404F8189D85213,1132,PERSON,WRK,kuali-ken-testing@googlegroups.com,Y,Y
1233,5B97C50B04276110E0404F8189D85213,1133,PERSON,WRK,newAccountUser@indiana.edu,Y,Y
1234,5B97C50B04286110E0404F8189D85213,1134,PERSON,WRK,supervisor@indiana.edu,Y,Y
1235,5B97C50B04296110E0404F8189D85213,1135,PERSON,WRK,director@indiana.edu,Y,Y
1237,5B97C50B042B6110E0404F8189D85213,1137,PERSON,WRK,employee@indiana.edu',Y,Y
OLE100001,OLE100001,OLE100001,PERSON,WRK,supercat@localhost.edu,Y,Y
OLE100002,OLE100002,OLE100002,PERSON,WRK,catsup@localhost.edu,Y,Y
OLE100003,OLE100003,OLE100003,PERSON,WRK,cat1@localhost.edu,Y,Y
OLE100004,OLE100004,OLE100004,PERSON,WRK,cat2@localhost.edu,Y,Y
OLE100005,OLE100005,OLE100005,PERSON,WRK,tempcat1@localhost.edu,Y,Y
OLE100006,OLE100006,OLE100006,PERSON,WRK,catfull@localhost.edu,Y,Y
OLE100007,OLE100007,OLE100007,PERSON,WRK,catbatch@localhost.edu,Y,Y
OLE100008,OLE100008,OLE100008,PERSON,WRK,describereadonly@localhost.edu,Y,Y
