ENTITY_EXT_ID_ID,OBJ_ID,ENTITY_ID,EXT_ID_TYP_CD,EXT_ID
OLE4231,OLE4231,OLE1031,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4232,OLE4232,OLE1032,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4233,OLE4233,OLE1033,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4234,OLE4234,OLE1035,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4235,OLE4235,OLE1036,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4236,OLE4236,OLE1037,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4237,OLE4237,OLE1038,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4238,OLE4238,OLE1039,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4239,OLE4239,OLE1040,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4240,OLE4240,OLE1041,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4241,OLE4241,OLE1042,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4242,OLE4242,OLE1043,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4243,OLE4243,OLE1044,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4244,OLE4244,OLE1045,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4245,OLE4245,OLE1046,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4246,OLE4246,OLE1047,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4247,OLE4247,OLE1048,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4248,OLE4248,OLE1049,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4249,OLE4249,OLE1050,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4250,OLE4250,OLE1052,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4251,OLE4251,OLE1053,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4252,OLE4252,OLE1054,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4253,OLE4253,OLE1055,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4254,OLE4254,OLE1056,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4255,OLE4255,OLE1057,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4256,OLE4256,OLE1058,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4257,OLE4257,OLE1059,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4258,OLE4258,OLE1060,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4259,OLE4259,OLE1061,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4260,OLE4260,OLE1062,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4261,OLE4261,OLE1063,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4262,OLE4262,OLE1064,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4263,OLE4263,OLE1065,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4264,OLE4264,OLE1066,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4265,OLE4265,OLE1067,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4266,OLE4266,OLE1068,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4267,OLE4267,OLE1069,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4268,OLE4268,OLE1070,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4269,OLE4269,OLE1071,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4270,OLE4270,OLE1072,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4271,OLE4271,OLE1073,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4272,OLE4272,OLE1074,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4273,OLE4273,OLE1075,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4274,OLE4274,OLE1076,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4275,OLE4275,OLE1077,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4276,OLE4276,OLE1078,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4277,OLE4277,OLE1079,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4278,OLE4278,OLE1080,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4279,OLE4279,OLE1081,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4280,OLE4280,OLE1082,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4281,OLE4281,OLE1083,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4282,OLE4282,OLE1084,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4283,OLE4283,OLE1085,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4284,OLE4284,OLE1086,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4285,OLE4285,OLE1087,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4286,OLE4286,OLE1088,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4287,OLE4287,OLE1089,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4288,OLE4288,OLE1090,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4289,OLE4289,OLE1091,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4290,OLE4290,OLE1092,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4291,OLE4291,OLE1093,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4292,OLE4292,OLE1094,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4293,OLE4293,OLE1095,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4294,OLE4294,OLE1096,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4295,OLE4295,OLE1097,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4296,OLE4296,OLE1098,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4297,OLE4297,OLE1099,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4298,OLE4298,OLE1100,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4299,OLE4299,OLE1101,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4300,OLE4300,OLE1102,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4301,OLE4301,OLE1103,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4302,OLE4302,OLE1104,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4303,OLE4303,OLE1105,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4304,OLE4304,OLE1106,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4305,OLE4305,OLE1107,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4306,OLE4306,OLE1108,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4307,OLE4307,OLE1109,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4308,OLE4308,OLE1110,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4309,OLE4309,OLE1111,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4310,OLE4310,OLE1112,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4311,OLE4311,OLE1113,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4312,OLE4312,OLE1114,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4313,OLE4313,OLE1115,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4314,OLE4314,OLE1117,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4315,OLE4315,OLE1122,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4316,OLE4316,OLE1123,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4317,OLE4317,OLE1124,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4318,OLE4318,OLE1125,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4319,OLE4319,OLE1137,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4320,OLE4320,OLE1138,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4321,OLE4321,OLE1143,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4322,OLE4322,OLE1146,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4323,OLE4323,OLE1165,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4324,OLE4324,OLE1168,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4325,OLE4325,OLE1172,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4326,OLE4326,OLE1231,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4327,OLE4327,OLE1232,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4328,OLE4328,OLE1264,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4329,OLE4329,OLE1309,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4330,OLE4330,OLE1315,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4331,OLE4331,OLE1334,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4332,OLE4332,OLE1337,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4333,OLE4333,OLE1361,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4334,OLE4334,OLE1399,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4335,OLE4335,OLE1423,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4336,OLE4336,OLE1433,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4337,OLE4337,OLE1438,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4338,OLE4338,OLE1441,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4339,OLE4339,OLE1444,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4340,OLE4340,OLE1453,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4341,OLE4341,OLE1455,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4342,OLE4342,OLE1470,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4343,OLE4343,OLE1482,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4344,OLE4344,OLE1515,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4345,OLE4345,OLE1520,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4346,OLE4346,OLE1525,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4347,OLE4347,OLE1526,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4348,OLE4348,OLE1531,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4349,OLE4349,OLE1545,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4350,OLE4350,OLE1556,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4351,OLE4351,OLE1574,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4352,OLE4352,OLE1586,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4353,OLE4353,OLE1599,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4354,OLE4354,OLE1601,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4355,OLE4355,OLE1603,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4356,OLE4356,OLE1625,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4357,OLE4357,OLE1637,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4358,OLE4358,OLE1638,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4359,OLE4359,OLE1656,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4360,OLE4360,OLE1676,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4361,OLE4361,OLE1686,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4362,OLE4362,OLE1689,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4363,OLE4363,OLE1705,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4364,OLE4364,OLE1717,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4365,OLE4365,OLE1731,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4366,OLE4366,OLE1744,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4367,OLE4367,OLE1747,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4368,OLE4368,OLE1783,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4369,OLE4369,OLE1861,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4370,OLE4370,OLE1864,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4371,OLE4371,OLE1870,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4372,OLE4372,OLE1884,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4373,OLE4373,OLE2018,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4374,OLE4374,OLE2019,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4375,OLE4375,OLE2049,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4376,OLE4376,OLE2053,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4377,OLE4377,OLE2062,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4378,OLE4378,OLE2073,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4379,OLE4379,OLE2075,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4380,OLE4380,OLE2138,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4381,OLE4381,OLE2163,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4382,OLE4382,OLE2204,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4383,OLE4383,OLE2224,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4384,OLE4384,OLE2227,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4385,OLE4385,OLE2230,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4386,OLE4386,OLE2235,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4387,OLE4387,OLE2236,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4388,OLE4388,OLE2247,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4389,OLE4389,OLE2284,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4390,OLE4390,OLE2344,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4391,OLE4391,OLE2369,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4392,OLE4392,OLE2376,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4393,OLE4393,OLE2377,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4394,OLE4394,OLE2382,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4395,OLE4395,OLE2383,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4396,OLE4396,OLE2388,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4397,OLE4397,OLE2389,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4398,OLE4398,OLE2409,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4399,OLE4399,OLE2412,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4400,OLE4400,OLE2492,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4401,OLE4401,OLE2533,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4402,OLE4402,OLE2534,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4403,OLE4403,OLE2535,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4404,OLE4404,OLE2549,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4405,OLE4405,OLE2550,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4406,OLE4406,OLE2552,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4407,OLE4407,OLE2554,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4408,OLE4408,OLE2559,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4409,OLE4409,OLE2566,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4410,OLE4410,OLE2567,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4411,OLE4411,OLE2568,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4412,OLE4412,OLE2578,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4413,OLE4413,OLE2582,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4414,OLE4414,OLE2584,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4415,OLE4415,OLE2587,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4416,OLE4416,OLE2588,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4417,OLE4417,OLE2593,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4418,OLE4418,OLE2594,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4419,OLE4419,OLE2595,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4420,OLE4420,OLE2602,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4421,OLE4421,OLE2606,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4422,OLE4422,OLE2607,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4423,OLE4423,OLE2612,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4424,OLE4424,OLE2616,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4425,OLE4425,OLE2621,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4426,OLE4426,OLE2629,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4427,OLE4427,OLE2631,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4428,OLE4428,OLE2641,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4429,OLE4429,OLE2646,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4430,OLE4430,OLE2648,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4431,OLE4431,OLE2651,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4432,OLE4432,OLE2655,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4433,OLE4433,OLE2656,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4434,OLE4434,OLE2657,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4435,OLE4435,OLE2658,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4436,OLE4436,OLE2659,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4437,OLE4437,OLE2693,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4438,OLE4438,OLE2694,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4439,OLE4439,OLE2695,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4440,OLE4440,OLE2734,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4441,OLE4441,OLE2742,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4442,OLE4442,OLE2743,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4443,OLE4443,OLE2744,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4444,OLE4444,OLE2745,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4445,OLE4445,OLE2746,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4446,OLE4446,OLE2747,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4447,OLE4447,OLE2748,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4448,OLE4448,OLE2749,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4449,OLE4449,OLE2750,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4450,OLE4450,OLE2751,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4451,OLE4451,OLE2752,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4452,OLE4452,OLE2753,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4453,OLE4453,OLE2754,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4454,OLE4454,OLE2755,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4455,OLE4455,OLE2756,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4456,OLE4456,OLE2757,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4457,OLE4457,OLE2758,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4458,OLE4458,OLE2759,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4459,OLE4459,OLE2760,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4460,OLE4460,OLE2761,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4461,OLE4461,OLE2762,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4462,OLE4462,OLE2763,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4463,OLE4463,OLE2764,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4464,OLE4464,OLE2765,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4465,OLE4465,OLE2766,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4466,OLE4466,OLE2767,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4467,OLE4467,OLE2768,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4468,OLE4468,OLE2769,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4469,OLE4469,OLE2770,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4470,OLE4470,OLE2771,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4471,OLE4471,OLE2772,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4472,OLE4472,OLE2773,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4473,OLE4473,OLE2774,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4474,OLE4474,OLE2775,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4475,OLE4475,OLE2776,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4476,OLE4476,OLE2777,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4477,OLE4477,OLE2778,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4478,OLE4478,OLE2779,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4479,OLE4479,OLE2780,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4480,OLE4480,OLE2781,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4481,OLE4481,OLE2782,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4482,OLE4482,OLE2783,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4483,OLE4483,OLE2784,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4484,OLE4484,OLE2785,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4485,OLE4485,OLE2786,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4486,OLE4486,OLE2787,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4487,OLE4487,OLE2788,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4488,OLE4488,OLE2789,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4489,OLE4489,OLE2790,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4490,OLE4490,OLE2791,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4491,OLE4491,OLE2792,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4492,OLE4492,OLE2793,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4493,OLE4493,OLE2794,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4494,OLE4494,OLE2795,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4495,OLE4495,OLE2796,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4496,OLE4496,OLE2797,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4497,OLE4497,OLE2798,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4498,OLE4498,OLE2799,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4499,OLE4499,OLE2800,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4500,OLE4500,OLE2801,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4501,OLE4501,OLE2802,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4502,OLE4502,OLE2803,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4503,OLE4503,OLE2804,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4504,OLE4504,OLE2805,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4505,OLE4505,OLE2806,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4506,OLE4506,OLE2807,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4507,OLE4507,OLE2808,TAX,XBy8HbA0p2kc3lalnjPKpA==
